speaker,video_id,interval_id,valid,duration,start_time_string,end_time_string,video_link,video_fn,start_time,end_time,org_start_time,org_end_time,max_frames_token,valid_duration,valid_single_token_per_frame,video_downloded,valid_hd5,valid_max_token_duration,valid_frames_count
oliver,DRauXXz6t0Y,214428,False,12.212212,00:00:58.62,00:01:10.83,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:00:58.620000,0 days 00:01:10.830000,0 days 00:00:58.620000,0 days 00:01:10.830000,88,True,True,False,True,False,True
oliver,DRauXXz6t0Y,214429,True,6.1394730000000015,00:01:10.97,00:01:17.11,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:01:10.970000,0 days 00:01:17.110000,0 days 00:01:10.970000,0 days 00:01:17.110000,31,True,True,False,True,True,True
oliver,DRauXXz6t0Y,214430,False,102.435769,00:01:17.24,00:02:59.67,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:01:17.240000,0 days 00:02:59.670000,0 days 00:01:17.240000,0 days 00:02:59.670000,75,True,False,False,True,False,False
oliver,DRauXXz6t0Y,214431,True,6.8735399999999975,00:02:59.87,00:03:06.75,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:02:59.870000,0 days 00:03:06.750000,0 days 00:02:59.870000,0 days 00:03:06.750000,25,True,True,False,True,True,True
oliver,DRauXXz6t0Y,214433,False,16.149483,00:05:50.85,00:06:07.0,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:05:50.850000,0 days 00:06:07,0 days 00:05:50.850000,0 days 00:06:07,92,True,True,False,True,False,True
oliver,DRauXXz6t0Y,214434,False,26.559894,00:06:07.13,00:06:33.69,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:06:07.130000,0 days 00:06:33.690000,0 days 00:06:07.130000,0 days 00:06:33.690000,91,True,True,False,True,False,True
oliver,DRauXXz6t0Y,214435,True,6.6733410000000015,00:06:33.82,00:06:40.50,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:06:33.820000,0 days 00:06:40.500000,0 days 00:06:33.820000,0 days 00:06:40.500000,22,True,True,False,True,True,True
oliver,DRauXXz6t0Y,214436,True,6.0727400000000005,00:06:40.63,00:06:46.70,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:06:40.630000,0 days 00:06:46.700000,0 days 00:06:40.630000,0 days 00:06:46.700000,9,True,True,False,True,True,True
oliver,DRauXXz6t0Y,214438,False,79.61294699999998,00:06:46.97,00:08:06.58,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:06:46.970000,0 days 00:08:06.580000,0 days 00:06:46.970000,0 days 00:08:06.580000,172,True,True,False,True,False,True
oliver,DRauXXz6t0Y,214439,False,10.276944,00:08:06.72,00:08:16.99,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:08:06.720000,0 days 00:08:16.990000,0 days 00:08:06.720000,0 days 00:08:16.990000,18,True,False,False,True,True,False
oliver,DRauXXz6t0Y,214441,False,15.015015,00:08:17.66,00:08:32.67,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:08:17.660000,0 days 00:08:32.670000,0 days 00:08:17.660000,0 days 00:08:32.670000,42,True,False,False,True,True,False
oliver,DRauXXz6t0Y,214494,True,5.5388720000000005,00:03:23.77,00:03:29.30,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:03:23.770000,0 days 00:03:29.300000,0 days 00:03:23.770000,0 days 00:03:29.300000,42,True,True,False,True,True,True
oliver,DRauXXz6t0Y,214495,False,17.283951000000002,00:03:29.57,00:03:46.86,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:03:29.570000,0 days 00:03:46.860000,0 days 00:03:29.570000,0 days 00:03:46.860000,98,True,True,False,True,False,True
oliver,DRauXXz6t0Y,214600,True,22.088756,00:10:21.78,00:10:43.87,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:10:21.780000,0 days 00:10:43.870000,0 days 00:10:21.780000,0 days 00:10:43.870000,15,True,True,False,True,True,True
oliver,DRauXXz6t0Y,215061,False,57.190524,00:14:02.40,00:14:59.59,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:14:02.400000,0 days 00:14:59.590000,0 days 00:14:02.400000,0 days 00:14:59.590000,87,True,True,False,True,False,True
oliver,DRauXXz6t0Y,215062,False,2.335669,00:14:59.73,00:15:02.6,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:14:59.730000,0 days 00:15:02.060000,0 days 00:14:59.730000,0 days 00:15:02.060000,32,False,True,False,True,True,True
oliver,DRauXXz6t0Y,215652,True,20.02002,00:00:05.40,00:00:25.42,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:00:05.400000,0 days 00:00:25.420000,0 days 00:00:05.400000,0 days 00:00:25.420000,45,True,True,False,True,True,True
oliver,DRauXXz6t0Y,215653,False,1.534868,00:00:25.55,00:00:27.9,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:00:25.550000,0 days 00:00:27.090000,0 days 00:00:25.550000,0 days 00:00:27.090000,-1,False,False,False,False,False,False
oliver,DRauXXz6t0Y,215654,True,8.942276,00:00:27.22,00:00:36.16,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:00:27.220000,0 days 00:00:36.160000,0 days 00:00:27.220000,0 days 00:00:36.160000,13,True,True,False,True,True,True
oliver,DRauXXz6t0Y,215875,False,14.481148,00:11:09.20,00:11:23.68,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:11:09.200000,0 days 00:11:23.680000,0 days 00:11:09.200000,0 days 00:11:23.680000,93,True,True,False,True,False,True
oliver,DRauXXz6t0Y,215876,True,13.34668,00:11:23.81,00:11:37.16,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:11:23.810000,0 days 00:11:37.160000,0 days 00:11:23.810000,0 days 00:11:37.160000,16,True,True,False,True,True,True
oliver,DRauXXz6t0Y,215878,True,9.275943,00:11:37.43,00:11:46.70,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:11:37.430000,0 days 00:11:46.700000,0 days 00:11:37.430000,0 days 00:11:46.700000,12,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216037,True,24.891559,00:12:02.42,00:12:27.31,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:02.420000,0 days 00:12:27.310000,0 days 00:12:02.420000,0 days 00:12:27.310000,22,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216038,False,3.803804,00:12:27.44,00:12:31.25,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:27.440000,0 days 00:12:31.250000,0 days 00:12:27.440000,0 days 00:12:31.250000,31,False,True,False,True,True,True
oliver,DRauXXz6t0Y,216039,True,18.885552,00:12:31.38,00:12:50.27,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:31.380000,0 days 00:12:50.270000,0 days 00:12:31.380000,0 days 00:12:50.270000,24,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216041,False,3.403403,00:12:50.67,00:12:54.7,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:50.670000,0 days 00:12:54.070000,0 days 00:12:50.670000,0 days 00:12:54.070000,8,False,True,False,True,True,True
oliver,DRauXXz6t0Y,216042,True,4.004004,00:12:54.20,00:12:58.21,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:54.200000,0 days 00:12:58.210000,0 days 00:12:54.200000,0 days 00:12:58.210000,17,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216043,False,2.802802,00:12:58.34,00:13:01.14,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:12:58.340000,0 days 00:13:01.140000,0 days 00:12:58.340000,0 days 00:13:01.140000,-1,False,False,False,False,False,False
oliver,DRauXXz6t0Y,216104,False,69.336003,00:04:32.47,00:05:41.80,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:04:32.470000,0 days 00:05:41.800000,0 days 00:04:32.470000,0 days 00:05:41.800000,78,True,True,False,True,False,True
oliver,DRauXXz6t0Y,216292,True,8.274942,00:03:58.60,00:04:06.88,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:03:58.600000,0 days 00:04:06.880000,0 days 00:03:58.600000,0 days 00:04:06.880000,15,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216294,True,6.339673,00:04:07.61,00:04:13.95,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:04:07.610000,0 days 00:04:13.950000,0 days 00:04:07.610000,0 days 00:04:13.950000,15,True,True,False,True,True,True
oliver,DRauXXz6t0Y,216295,False,6.606606,00:04:14.8,00:04:20.69,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:04:14.080000,0 days 00:04:20.690000,0 days 00:04:14.080000,0 days 00:04:20.690000,75,True,True,False,True,False,True
oliver,DRauXXz6t0Y,216315,False,2.602602,00:09:15.98,00:09:18.59,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:09:15.980000,0 days 00:09:18.590000,0 days 00:09:15.980000,0 days 00:09:18.590000,22,False,True,False,True,True,True
oliver,DRauXXz6t0Y,216316,False,30.89756400000001,00:09:18.72,00:09:49.62,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:09:18.720000,0 days 00:09:49.620000,0 days 00:09:18.720000,0 days 00:09:49.620000,143,True,True,False,True,False,True
oliver,DRauXXz6t0Y,216392,False,15.348682,00:13:42.8,00:13:57.43,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:13:42.080000,0 days 00:13:57.430000,0 days 00:13:42.080000,0 days 00:13:57.430000,12,True,False,False,True,True,True
oliver,DRauXXz6t0Y,216405,False,23.023023,00:15:18.85,00:15:41.87,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:15:18.850000,0 days 00:15:41.870000,0 days 00:15:18.850000,0 days 00:15:41.870000,99,True,False,False,True,False,False
oliver,DRauXXz6t0Y,216913,True,6.8735399999999975,00:10:03.0,00:10:09.87,http://www.youtube.com/watch?v=DRauXXz6t0Y,Abortion_Laws_-_Last_Week_Tonight_with_John_Oliver_HBO-DRauXXz6t0Y.webm,0 days 00:10:03,0 days 00:10:09.870000,0 days 00:10:03,0 days 00:10:09.870000,11,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214036,True,16.866666,00:02:35.56,00:02:52.43,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:02:35.560000,0 days 00:02:52.430000,0 days 00:02:35.560000,0 days 00:02:52.430000,59,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214225,False,79.533333,00:11:23.56,00:12:43.10,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:11:23.560000,0 days 00:12:43.100000,0 days 00:11:23.560000,0 days 00:12:43.100000,95,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,214329,False,7.733333,00:05:00.56,00:05:08.30,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:05:00.560000,0 days 00:05:08.300000,0 days 00:05:00.560000,0 days 00:05:08.300000,-1,True,False,False,False,False,False
oliver,WyGq6cjcc3Q,214331,False,1.333333,00:05:09.50,00:05:10.83,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:05:09.500000,0 days 00:05:10.830000,0 days 00:05:09.500000,0 days 00:05:10.830000,-1,False,False,False,False,False,False
oliver,WyGq6cjcc3Q,214336,False,2.4,00:05:12.16,00:05:14.56,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:05:12.160000,0 days 00:05:14.560000,0 days 00:05:12.160000,0 days 00:05:14.560000,-1,False,False,False,False,False,False
oliver,WyGq6cjcc3Q,214337,True,4.733333,00:05:14.70,00:05:19.43,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:05:14.700000,0 days 00:05:19.430000,0 days 00:05:14.700000,0 days 00:05:19.430000,50,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214746,False,37.666666,00:15:57.56,00:16:35.23,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:15:57.560000,0 days 00:16:35.230000,0 days 00:15:57.560000,0 days 00:16:35.230000,-1,True,False,False,False,False,False
oliver,WyGq6cjcc3Q,214747,False,3.933334,00:16:35.43,00:16:39.36,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:16:35.430000,0 days 00:16:39.360000,0 days 00:16:35.430000,0 days 00:16:39.360000,-1,False,False,False,False,False,False
oliver,WyGq6cjcc3Q,214749,False,3.066666,00:16:39.76,00:16:42.83,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:16:39.760000,0 days 00:16:42.830000,0 days 00:16:39.760000,0 days 00:16:42.830000,47,False,True,False,True,True,True
oliver,WyGq6cjcc3Q,214750,False,8.266666,00:16:42.96,00:16:51.23,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:16:42.960000,0 days 00:16:51.230000,0 days 00:16:42.960000,0 days 00:16:51.230000,64,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,214751,False,3.2,00:16:51.36,00:16:54.56,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:16:51.360000,0 days 00:16:54.560000,0 days 00:16:51.360000,0 days 00:16:54.560000,39,False,True,False,True,True,True
oliver,WyGq6cjcc3Q,214754,True,15.533333,00:16:55.56,00:17:11.10,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:16:55.560000,0 days 00:17:11.100000,0 days 00:16:55.560000,0 days 00:17:11.100000,13,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214868,True,6.2,00:08:42.56,00:08:48.76,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:08:42.560000,0 days 00:08:48.760000,0 days 00:08:42.560000,0 days 00:08:48.760000,36,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214871,False,21.2,00:08:50.16,00:09:11.36,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:08:50.160000,0 days 00:09:11.360000,0 days 00:08:50.160000,0 days 00:09:11.360000,81,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,214969,True,5.4,00:18:42.56,00:18:47.96,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:18:42.560000,0 days 00:18:47.960000,0 days 00:18:42.560000,0 days 00:18:47.960000,18,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214970,False,20.466667,00:18:48.10,00:19:08.56,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:18:48.100000,0 days 00:19:08.560000,0 days 00:18:48.100000,0 days 00:19:08.560000,70,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,214971,True,5.2,00:19:08.70,00:19:13.90,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:19:08.700000,0 days 00:19:13.900000,0 days 00:19:08.700000,0 days 00:19:13.900000,45,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,214974,True,31.6,00:19:14.56,00:19:46.16,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:19:14.560000,0 days 00:19:46.160000,0 days 00:19:14.560000,0 days 00:19:46.160000,21,True,True,False,True,True,True
oliver,WyGq6cjcc3Q,215252,False,59.666666000000006,00:05:22.56,00:06:22.23,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:05:22.560000,0 days 00:06:22.230000,0 days 00:05:22.560000,0 days 00:06:22.230000,165,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,215436,False,25.933333,00:06:26.56,00:06:52.50,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:06:26.560000,0 days 00:06:52.500000,0 days 00:06:26.560000,0 days 00:06:52.500000,87,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,215437,False,22.6,00:06:52.63,00:07:15.23,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:06:52.630000,0 days 00:07:15.230000,0 days 00:06:52.630000,0 days 00:07:15.230000,62,True,True,False,True,False,True
oliver,WyGq6cjcc3Q,215854,True,12.6,00:14:33.56,00:14:46.16,http://www.youtube.com/watch?v=WyGq6cjcc3Q,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.webm,0 days 00:14:33.560000,0 days 00:14:46.160000,0 days 00:14:33.560000,0 days 00:14:46.160000,54,True,True,False,True,True,True
